"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 16, 2013","8,391.94","8,348.42","8,402.30","8,330.33","85.75M","0.19%"
"Aug 15, 2013","8,376.29","8,418.94","8,422.03","8,307.98","72.73M","-0.73%"
"Aug 14, 2013","8,438.12","8,424.88","8,457.05","8,400.75","80.10M","0.27%"
"Aug 13, 2013","8,415.76","8,395.82","8,444.52","8,383.23","95.30M","0.68%"
"Aug 12, 2013","8,359.25","8,341.96","8,371.16","8,238.86","82.33M","0.25%"
"Aug 09, 2013","8,338.31","8,332.53","8,374.59","8,286.41","89.03M","0.24%"
"Aug 08, 2013","8,318.32","8,256.40","8,341.44","8,252.46","145.60M","0.70%"
"Aug 07, 2013","8,260.48","8,265.33","8,281.52","8,228.11","78.95M","-0.47%"
"Aug 06, 2013","8,299.73","8,387.93","8,435.49","8,267.98","122.12M","-1.17%"
"Aug 05, 2013","8,398.38","8,416.11","8,435.32","8,367.34","62.90M","-0.10%"
"Aug 02, 2013","8,406.94","8,428.58","8,431.67","8,376.28","73.39M","-0.05%"
"Aug 01, 2013","8,410.73","8,320.38","8,411.30","8,316.89","97.99M","1.63%"
"Jul 31, 2013","8,275.97","8,235.22","8,295.56","8,213.36","113.06M","0.06%"
"Jul 30, 2013","8,271.02","8,302.14","8,333.95","8,256.40","135.63M","0.15%"
"Jul 29, 2013","8,259.03","8,307.12","8,324.15","8,245.53","67.36M","0.17%"
"Jul 26, 2013","8,244.91","8,341.78","8,362.04","8,217.26","75.42M","-0.65%"
"Jul 25, 2013","8,298.98","8,349.52","8,356.88","8,265.14","96.06M","-0.96%"
"Jul 24, 2013","8,379.11","8,325.06","8,415.33","8,318.48","88.49M","0.78%"
"Jul 23, 2013","8,314.23","8,358.62","8,365.98","8,306.60","80.77M","-0.20%"
"Jul 22, 2013","8,331.06","8,343.28","8,374.47","8,310.29","73.05M","-0.01%"
"Jul 19, 2013","8,331.57","8,299.01","8,336.87","8,284.36","119.92M","-0.07%"
"Jul 18, 2013","8,337.09","8,239.38","8,337.20","8,215.66","79.51M","1.00%"
"Jul 17, 2013","8,254.72","8,216.70","8,269.22","8,137.53","71.75M","0.65%"
"Jul 16, 2013","8,201.05","8,251.51","8,252.25","8,178.19","68.67M","-0.41%"
"Jul 15, 2013","8,234.81","8,237.92","8,271.38","8,211.42","67.64M","0.27%"
"Jul 12, 2013","8,212.77","8,192.91","8,244.13","8,178.20","87.87M","0.66%"
"Jul 11, 2013","8,158.80","8,163.56","8,176.70","8,130.48","81.26M","1.14%"
"Jul 10, 2013","8,066.48","8,056.51","8,081.21","7,990.65","75.95M","0.11%"
"Jul 09, 2013","8,057.75","8,021.13","8,086.95","8,005.73","82.86M","1.12%"
"Jul 08, 2013","7,968.54","7,865.92","8,015.21","7,848.14","79.57M","2.08%"
"Jul 05, 2013","7,806.00","8,010.44","8,031.71","7,805.36","116.27M","-2.36%"
"Jul 04, 2013","7,994.31","7,877.91","8,015.08","7,863.76","119.38M","2.11%"
"Jul 03, 2013","7,829.32","7,841.18","7,841.87","7,730.37","115.95M","-1.03%"
"Jul 02, 2013","7,910.77","7,988.92","7,988.96","7,873.97","96.76M","-0.92%"
"Jul 01, 2013","7,983.92","8,000.02","8,023.15","7,890.28","96.72M","0.31%"
"Jun 28, 2013","7,959.22","8,015.53","8,037.68","7,906.14","101.76M","-0.39%"
"Jun 27, 2013","7,990.75","7,945.92","8,025.81","7,919.59","102.94M","0.63%"
"Jun 26, 2013","7,940.99","7,810.37","7,960.45","7,800.85","128.57M","1.66%"
"Jun 25, 2013","7,811.30","7,741.13","7,842.48","7,725.99","109.49M","1.55%"
"Jun 24, 2013","7,692.45","7,776.88","7,823.84","7,655.83","121.38M","-1.24%"
"Jun 21, 2013","7,789.24","7,946.32","7,987.04","7,789.24","245.49M","-1.76%"
"Jun 20, 2013","7,928.48","8,085.67","8,085.67","7,911.96","131.81M","-3.28%"
"Jun 19, 2013","8,197.08","8,254.57","8,285.90","8,160.50","78.66M","-0.39%"
"Jun 18, 2013","8,229.51","8,196.44","8,241.60","8,176.19","73.65M","0.17%"
"Jun 17, 2013","8,215.73","8,170.75","8,265.49","8,167.67","73.15M","1.08%"
"Jun 14, 2013","8,127.96","8,157.88","8,188.00","8,111.38","72.77M","0.40%"
"Jun 13, 2013","8,095.39","8,023.37","8,110.38","7,968.13","97.59M","-0.59%"
"Jun 12, 2013","8,143.27","8,204.91","8,246.08","8,122.72","81.79M","-0.96%"
"Jun 11, 2013","8,222.46","8,256.19","8,260.86","8,141.02","96.69M","-1.03%"
"Jun 10, 2013","8,307.69","8,246.04","8,355.79","8,245.94","75.73M","0.64%"
"Jun 07, 2013","8,254.68","8,124.88","8,279.03","8,034.55","103.60M","1.92%"
"Jun 06, 2013","8,098.81","8,188.82","8,235.09","8,098.81","85.24M","-1.19%"
"Jun 05, 2013","8,196.18","8,229.23","8,293.28","8,182.08","89.16M","-1.20%"
"Jun 04, 2013","8,295.96","8,358.68","8,384.36","8,274.94","82.41M","0.12%"
"Jun 03, 2013","8,285.80","8,291.49","8,395.56","8,214.78","97.75M","-0.76%"
"May 31, 2013","8,348.84","8,385.38","8,401.63","8,297.03","122.40M","-0.61%"
"May 30, 2013","8,400.20","8,314.20","8,416.36","8,293.96","103.14M","0.76%"
"May 29, 2013","8,336.58","8,437.21","8,445.46","8,316.70","107.50M","-1.70%"
"May 28, 2013","8,480.87","8,432.46","8,526.42","8,424.40","97.46M","1.16%"
"May 27, 2013","8,383.30","8,346.60","8,386.86","8,338.32","48.71M","0.94%"
"May 24, 2013","8,305.32","8,390.16","8,391.02","8,262.64","131.15M","-0.56%"
"May 23, 2013","8,351.98","8,410.06","8,412.25","8,281.11","132.88M","-2.10%"
"May 22, 2013","8,530.89","8,467.56","8,557.86","8,434.83","110.21M","0.69%"
"May 21, 2013","8,472.20","8,446.78","8,476.18","8,397.54","113.84M","0.19%"
"May 20, 2013","8,455.83","8,434.97","8,456.24","8,401.74","78.30M","0.69%"
"May 17, 2013","8,398.00","8,356.26","8,408.62","8,327.47","158.38M","0.34%"
"May 16, 2013","8,369.87","8,348.54","8,401.28","8,324.23","125.95M","0.09%"
"May 15, 2013","8,362.42","8,333.61","8,368.06","8,299.83","152.90M","0.28%"
"May 14, 2013","8,339.11","8,304.50","8,339.11","8,235.97","114.73M","0.72%"
"May 13, 2013","8,279.29","8,281.95","8,294.56","8,217.15","85.26M","0.01%"
"May 10, 2013","8,278.59","8,278.45","8,358.23","8,252.37","95.07M","0.19%"
"May 09, 2013","8,262.55","8,232.50","8,274.18","8,224.52","57.87M","0.16%"
"May 08, 2013","8,249.71","8,176.88","8,253.47","8,173.35","121.80M","0.83%"
"May 07, 2013","8,181.78","8,125.82","8,206.01","8,116.67","89.54M","0.86%"
"May 06, 2013","8,112.08","8,119.22","8,148.14","8,103.27","66.15M","-0.13%"
"May 03, 2013","8,122.29","7,972.28","8,130.16","7,957.36","134.55M","2.02%"
"May 02, 2013","7,961.71","7,905.35","8,005.83","7,896.99","142.87M","0.61%"
"Apr 30, 2013","7,913.71","7,928.42","7,965.90","7,893.08","119.77M","0.51%"
"Apr 29, 2013","7,873.50","7,834.02","7,873.50","7,823.24","79.20M","0.75%"
"Apr 26, 2013","7,814.76","7,835.59","7,840.47","7,767.61","94.49M","-0.23%"
"Apr 25, 2013","7,832.86","7,766.61","7,838.31","7,741.98","92.93M","0.95%"
"Apr 24, 2013","7,759.03","7,656.76","7,767.36","7,656.22","117.92M","1.32%"
"Apr 23, 2013","7,658.21","7,477.03","7,664.22","7,442.36","184.06M","2.41%"
"Apr 22, 2013","7,478.11","7,516.06","7,538.22","7,437.52","153.70M","0.24%"
"Apr 19, 2013","7,459.96","7,490.11","7,531.09","7,418.36","178.32M","-0.18%"
"Apr 18, 2013","7,473.73","7,519.67","7,556.55","7,436.78","140.26M","-0.39%"
"Apr 17, 2013","7,503.03","7,719.56","7,722.46","7,473.07","161.07M","-2.34%"
"Apr 16, 2013","7,682.58","7,680.78","7,739.66","7,639.43","139.71M","-0.39%"
"Apr 15, 2013","7,712.63","7,740.54","7,773.11","7,651.58","118.15M","-0.41%"
"Apr 12, 2013","7,744.77","7,831.87","7,838.53","7,726.13","121.69M","-1.61%"
"Apr 11, 2013","7,871.63","7,799.31","7,885.45","7,786.75","126.50M","0.78%"
"Apr 10, 2013","7,810.63","7,664.16","7,822.12","7,660.20","158.66M","2.27%"
"Apr 09, 2013","7,637.51","7,704.35","7,723.20","7,608.04","120.78M","-0.33%"
"Apr 08, 2013","7,662.64","7,669.04","7,698.47","7,645.56","85.36M","0.05%"
"Apr 05, 2013","7,658.75","7,820.69","7,825.28","7,632.42","144.76M","-2.03%"
"Apr 04, 2013","7,817.39","7,902.86","7,927.93","7,803.89","145.00M","-0.73%"
"Apr 03, 2013","7,874.75","7,926.88","7,953.15","7,869.81","103.69M","-0.87%"
"Apr 02, 2013","7,943.87","7,806.12","7,949.20","7,805.92","116.77M","1.91%"
"Mar 28, 2013","7,795.31","7,791.14","7,842.58","7,778.02","128.18M","0.08%"
"Mar 27, 2013","7,789.09","7,905.96","7,916.76","7,750.38","146.70M","-1.15%"
"Mar 26, 2013","7,879.67","7,889.15","7,912.52","7,859.27","115.37M","0.11%"
"Mar 25, 2013","7,870.90","7,988.27","8,030.76","7,847.97","157.51M","-0.51%"
"Mar 22, 2013","7,911.35","7,917.64","7,953.93","7,876.36","131.99M","-0.27%"
"Mar 21, 2013","7,932.51","7,989.59","7,999.34","7,887.67","159.85M","-0.87%"
"Mar 20, 2013","8,001.97","7,995.59","8,030.46","7,972.21","122.11M","0.68%"
"Mar 19, 2013","7,947.79","7,980.54","8,000.97","7,919.45","154.90M","-0.79%"
"Mar 18, 2013","8,010.70","7,924.04","8,020.91","7,901.94","130.36M","-0.40%"
"Mar 15, 2013","8,042.85","8,074.03","8,074.47","7,996.95","311.60M","-0.19%"
"Mar 14, 2013","8,058.37","8,013.25","8,060.26","8,011.22","280.67M","1.10%"
"Mar 13, 2013","7,970.91","7,964.77","7,978.84","7,942.37","368.77M","0.06%"
"Mar 12, 2013","7,966.12","7,970.83","7,999.50","7,933.94","175.95M","-0.23%"
"Mar 11, 2013","7,984.29","7,967.46","7,989.21","7,954.58","82.98M","-0.03%"
"Mar 08, 2013","7,986.47","7,970.66","8,015.07","7,962.28","134.78M","0.59%"
"Mar 07, 2013","7,939.77","7,934.19","7,956.26","7,911.56","98.78M","0.26%"
"Mar 06, 2013","7,919.33","7,907.39","7,977.64","7,898.04","124.63M","0.62%"
"Mar 05, 2013","7,870.31","7,779.62","7,883.60","7,772.33","137.28M","2.32%"
"Mar 04, 2013","7,691.68","7,654.67","7,708.88","7,637.32","83.89M","-0.21%"
"Mar 01, 2013","7,708.16","7,735.35","7,767.67","7,627.99","131.32M","-0.43%"
"Feb 28, 2013","7,741.70","7,712.20","7,753.39","7,691.81","126.36M","0.86%"
"Feb 27, 2013","7,675.83","7,641.84","7,679.44","7,565.78","117.57M","1.04%"
"Feb 26, 2013","7,597.11","7,682.24","7,683.96","7,589.32","171.52M","-2.27%"
"Feb 25, 2013","7,773.19","7,731.80","7,860.57","7,726.40","182.46M","1.45%"
"Feb 22, 2013","7,661.91","7,619.81","7,681.12","7,607.26","148.92M","1.03%"
"Feb 21, 2013","7,583.57","7,681.61","7,688.44","7,561.84","156.41M","-1.88%"
"Feb 20, 2013","7,728.90","7,747.21","7,784.64","7,709.48","135.41M","-0.30%"
"Feb 19, 2013","7,752.45","7,614.10","7,762.90","7,611.60","131.08M","1.62%"
"Feb 18, 2013","7,628.73","7,591.08","7,629.78","7,568.16","91.57M","0.46%"
"Feb 15, 2013","7,593.51","7,636.26","7,649.50","7,588.57","185.14M","-0.49%"
"Feb 14, 2013","7,631.19","7,697.89","7,729.36","7,607.48","113.78M","-1.05%"
"Feb 13, 2013","7,711.89","7,678.48","7,737.41","7,650.29","97.75M","0.67%"
"Feb 12, 2013","7,660.19","7,619.12","7,661.97","7,593.66","118.83M","0.35%"
"Feb 11, 2013","7,633.74","7,627.72","7,676.82","7,597.61","103.66M","-0.24%"
"Feb 08, 2013","7,652.14","7,607.57","7,655.31","7,577.34","123.64M","0.81%"
"Feb 07, 2013","7,590.85","7,581.37","7,661.31","7,565.32","144.80M","0.13%"
"Feb 06, 2013","7,581.18","7,665.88","7,694.42","7,537.29","152.98M","-1.09%"
"Feb 05, 2013","7,664.66","7,643.54","7,677.14","7,622.30","179.59M","0.35%"
"Feb 04, 2013","7,638.23","7,822.54","7,837.64","7,637.68","197.22M","-2.49%"
"Feb 01, 2013","7,833.39","7,792.59","7,853.37","7,784.97","128.95M","0.74%"
"Jan 31, 2013","7,776.05","7,800.45","7,812.34","7,765.20","171.42M","-0.45%"
"Jan 30, 2013","7,811.31","7,855.68","7,863.35","7,775.03","129.32M","-0.47%"
"Jan 29, 2013","7,848.57","7,841.96","7,857.14","7,800.12","114.47M","0.20%"
"Jan 28, 2013","7,833.00","7,859.83","7,871.79","7,831.72","88.20M","-0.32%"
"Jan 25, 2013","7,857.97","7,746.78","7,865.16","7,743.19","120.20M","1.42%"
"Jan 24, 2013","7,748.13","7,700.53","7,753.30","7,661.96","129.65M","0.53%"
"Jan 23, 2013","7,707.54","7,702.92","7,731.63","7,684.84","123.89M","0.15%"
"Jan 22, 2013","7,696.21","7,741.88","7,746.91","7,634.26","143.51M","-0.68%"
"Jan 21, 2013","7,748.86","7,727.77","7,749.82","7,719.02","71.75M","0.61%"
"Jan 18, 2013","7,702.23","7,747.13","7,753.49","7,702.23","133.35M","-0.43%"
"Jan 17, 2013","7,735.46","7,677.28","7,764.03","7,662.43","110.87M","0.58%"
"Jan 16, 2013","7,691.13","7,661.61","7,694.80","7,643.14","108.71M","0.20%"
"Jan 15, 2013","7,675.91","7,704.05","7,735.21","7,635.88","138.58M","-0.69%"
"Jan 14, 2013","7,729.52","7,737.61","7,785.82","7,702.36","41.22M","0.18%"
"Jan 11, 2013","7,715.53","7,725.93","7,731.45","7,683.92","174.96M","0.09%"
"Jan 10, 2013","7,708.47","7,732.14","7,773.69","7,685.08","176.13M","-0.16%"
"Jan 09, 2013","7,720.47","7,713.57","7,734.78","7,688.55","158.33M","0.32%"
"Jan 08, 2013","7,695.83","7,710.70","7,754.38","7,683.48","130.43M","-0.48%"
"Jan 07, 2013","7,732.66","7,760.01","7,767.55","7,713.42","151.70M","-0.56%"
"Jan 04, 2013","7,776.37","7,740.99","7,779.67","7,727.55","101.58M","0.26%"
"Jan 03, 2013","7,756.44","7,762.13","7,777.02","7,737.98","86.17M","-0.29%"
"Jan 02, 2013","7,778.78","7,689.46","7,789.94","7,689.46","140.35M","2.19%"
"Dec 28, 2012","7,612.39","7,649.89","7,665.68","7,602.89","48.12M","-0.57%"
"Dec 27, 2012","7,655.88","7,652.27","7,676.50","7,640.30","64.57M","0.26%"
"Dec 21, 2012","7,636.23","7,632.41","7,653.73","7,596.64","208.16M","-0.47%"
"Dec 20, 2012","7,672.10","7,642.99","7,675.45","7,635.39","102.03M","0.05%"
"Dec 19, 2012","7,668.50","7,675.33","7,682.90","7,655.71","128.89M","0.19%"
"Dec 18, 2012","7,653.58","7,634.28","7,667.91","7,626.25","127.20M","0.64%"
"Dec 17, 2012","7,604.94","7,604.16","7,627.14","7,564.07","89.70M","0.11%"
"Dec 14, 2012","7,596.47","7,599.03","7,619.26","7,571.16","93.63M","0.19%"
"Dec 13, 2012","7,581.98","7,618.62","7,618.62","7,561.96","119.24M","-0.43%"
"Dec 12, 2012","7,614.79","7,595.20","7,626.40","7,590.18","118.11M","0.33%"
"Dec 11, 2012","7,589.75","7,529.24","7,596.90","7,518.74","111.33M","0.78%"
"Dec 10, 2012","7,530.92","7,484.95","7,536.60","7,457.40","101.72M","0.17%"
"Dec 07, 2012","7,517.80","7,539.78","7,553.05","7,487.64","129.90M","-0.22%"
"Dec 06, 2012","7,534.54","7,469.54","7,554.51","7,461.19","138.74M","1.07%"
"Dec 05, 2012","7,454.55","7,480.59","7,482.28","7,428.70","125.61M","0.26%"
"Dec 04, 2012","7,435.12","7,428.13","7,466.25","7,417.30","96.65M","-0.00%"
"Dec 03, 2012","7,435.21","7,427.41","7,487.89","7,419.30","100.56M","0.40%"
"Nov 30, 2012","7,405.50","7,399.09","7,442.60","7,398.22","104.67M","0.06%"
